870,873.717 -1243.53 5.00716,1 21 22,stand
871,508.31 -1257.81 5.849,0 2 18 21,stand
872,171.575 -1257.8 16.0482,1 3 6,stand
873,-131.61 -859.434 58.2854,2 4 6 19,stand
874,-345.72 -481.742 85.8564,3 5 19,stand
875,-382.054 -133.077 89.7042,4 29 30 31,stand
876,273.468 -808.613 53.5687,7 18 2 3 17,stand
877,278.756 -499.715 77.9345,6 8 19 20 17 18 16,stand
878,366.36 -69.0645 18.182,7 9 15 16 17 28,stand
879,422.348 314.615 -8.08688,8 10 14 16 28 41 13 12 11,stand
880,414.521 765.525 -10.4957,9 13 11 44,stand
881,567.282 775.656 -9.71986,12 10 9 70 62 63,stand
882,563.341 684.79 -11.0692,11 13 9 44 242,stand
883,555.313 494.538 -8.10029,12 14 9 10,stand
884,546.402 252.749 -7.87499,13 15 26 9,stand
885,526.699 47.1167 0.27956,14 16 25 8,stand
886,463.853 -194.209 40.2273,15 17 8 24 27 7 9,stand
887,423.026 -442.219 76.2029,16 18 7 27 21 6 8,stand
888,430.131 -756.829 64.3461,17 6 1 21 7,stand
889,-28.369 -550.598 109.288,3 7 4 20,stand
890,-33.0847 -295.914 99.4415,19 7 29 28,stand
891,650.423 -887.968 5.15212,18 1 0 22 27 17,stand
892,958.138 -645.755 -7.875,21 0 23 27,stand
893,957.346 -161.631 0.124999,22 24 27,stand
894,643.022 -194.73 48.125,23 25 16 27,stand
895,604.587 51.1742 6.21808,24 15 26,stand
896,626.763 192.684 0.00489363,14 25 263,stand
897,652.494 -375.039 43.5602,24 16 23 17 22 21,stand
898,106.708 141.908 8.125,9 8 29 20 39 38,stand
899,-224.822 136.584 8.125,28 30 20 5 39 38,stand
900,-473.621 160.158 9.62108,29 31 5 37 38,stand
901,-745.654 307.589 32.125,30 32 5,stand
902,-841.719 529.933 8.9802,31 33,stand
903,-786.95 832.354 0.124999,32 34 54,stand
904,-513.165 1160.65 0.124999,33 35 55,stand
905,-385.548 1556.6 0.124998,34 36 55 58,stand
906,-456.2 1695.12 0.124998,35 57 58 172,stand
907,-373.912 409.522 0.125002,30 38 53,stand
908,-180.905 423.731 0.125002,37 39 29 30 28 53 56,stand
909,-14.4129 435.896 0.124997,38 29 28 40,stand
910,112.616 434.757 8.125,39 41 42,stand
911,216.611 422.437 8.125,40 9,stand
912,130.769 594.203 0.125,40 43,stand
913,220.762 704.347 0.125,42 44 45,stand
914,243.071 785.916 -0.809666,43 10 12 45 52 62 63,stand
915,258.814 680.215 0.124999,44 43 46,stand
916,262.396 510.151 80.125,45 47,stand
917,112.894 515.398 144.125,46 48 50,stand
918,122.374 699.878 144.125,47 49,stand
919,261.739 688.749 144.125,48,stand
920,19.5231 518.375 144.125,47 51,stand
921,-5.32674 668.159 144.125,50,stand
922,55.9945 782.928 0.125001,44 53 61 59,stand
923,-187.063 781.561 0.125001,52 54 38 37 56 55,stand
924,-367.988 788.666 0.125001,53 55 33 56,stand
925,-310.271 1087.8 -7.875,54 34 35 59 61 53,stand
926,-343.257 609.212 0.124998,54 38 53,stand
927,-256.716 1734.9 -7.87498,36 58,stand
928,-136.146 1430.28 0.125002,35 57 36 59,stand
929,-112.829 1242.99 0.125,58 60 61 55 52,stand
930,80.6442 1257.01 0.125,59 61 129,stand
931,164.297 1041.34 0.125,60 59 55 52 62,stand
932,338.727 999.84 -7.875,61 63 11 44 267,stand
933,607.297 986.147 -11.0845,62 64 44 11 70 231,stand
934,907.954 990.053 -15.0371,63 65 69 68 70,stand
935,1216.03 990.481 -31.1326,64 66 67 68 69 104,stand
936,1451.81 1010.73 -31.875,65 68 67 89 73 88 90,stand
937,1406.82 838.814 -31.875,68 65 71 73 72 66,stand
938,1192.42 829.828 -31.2391,69 67 64 66 65,stand
939,959.76 824.433 -15.8058,68 64 65 70,stand
940,738.865 841.104 -9.49058,69 11 63 64,stand
941,1397.65 613.397 -24.0867,67 74 83 72 73,stand
942,1472.32 608.433 -23.8812,73 83 67 74 71,stand
943,1509.01 794.791 -31.875,72 67 85 71 88 66,stand
944,1390.67 433.171 -23.875,71 75 78 82 72 83 81,stand
945,1175.16 383.38 -11.8395,74 76 82,stand
946,1131.45 271.41 -15.875,75 77,stand
947,1164.95 201.3 -16.3309,76 78 80,stand
948,1366.39 198.626 -21.7832,77 74 79 81,stand
949,1365.21 63.5931 -20.3833,78 80 84 82,stand
950,1146.48 -13.6524 -15.875,79 77 84,stand
951,1456.26 104.825 -22.6385,78 82 84 74,stand
952,1479.62 240.873 -23.6107,81 83 79 74 75,stand
953,1474.63 436.833 -23.875,82 72 71 74,stand
954,1339.82 -26.8521 -15.5235,81 80 79,stand
955,1769.37 778.179 -23.875,73 86 88,stand
956,1783.71 970.961 -23.875,87 85 88 89,stand
